Chapter,Topic,Question,Equation,Answer
Haloalkanes and Haloarenes,Haloalkane Concepts,Why boiling points of haloalkanes are higher than alkanes?,strong intermolecular forces,Polar C–X bond increases intermolecular attraction causing higher boiling points.
Equilibrium,Basic Concepts,What is homogeneous equilibrium?,H2 + I2 ⇌ 2HI,All reactants and products are in same phase.
Equilibrium,Chemical Equilibrium,Find ΔG when Q = K.,ΔG = 0,System is at equilibrium.
Hydrocarbons,Alkane Reactions,Explain the initiation step of free radical chlorination.,Cl2 → 2Cl•,UV light causes homolytic cleavage of chlorine molecules producing chlorine radicals.
Chemistry in Everyday Life,Drugs,How are drugs classified based on structure?,Structural similarity → similar function,Drugs with similar structures have similar activity
Alcohols Phenols Ethers,Ether Properties,Why does increase in branching reduce boiling point of ethers significantly?,R–O–R ⇌ reduced surface interaction,"Branching decreases the effective surface area of molecules, reducing van der Waals interactions. Since ethers already lack strong hydrogen bonding, this reduction in dispersion forces significantly lowers their boiling point compared to straight-chain ethers."
Thermodynamics,Processes,Why does work depend on path?,work is path function,Different processes produce different work values.
Thermodynamics,Processes,What is an isothermal process?,constant temperature,Temperature remains constant throughout process.
Thermodynamics,Third Law,Why is entropy zero at 0 K for perfect crystal?,perfect order exists,Only one microstate exists at absolute zero.
Aldehydes and Ketones,Ketone Reactions,Explain role of acid catalyst in ketal formation.,R–CO–R' + 2R''OH → R–C(OR'')2–R' + H2O,"Acid protonates carbonyl oxygen increasing electrophilicity of carbonyl carbon, facilitating nucleophilic attack by alcohol."
Hydrocarbons,Alkane Reactions,Why is halogenation called a chain reaction?,Cl• regenerated in propagation,"The radical formed in one propagation step generates another radical, allowing the reaction to continue repeatedly."
States of Matter,Gas Properties,Why does gas pressure increase with temperature at constant volume?,higher collision force and frequency,Faster molecules hit walls more strongly.
Polymers,Polymer Concepts,What is biodegradable polymer?,microbial decomposition,Biodegradable polymers decompose naturally by microorganisms.
Redox Reactions,Redox Reactions,What is displacement reaction?,A + BC → AC + B,Based on reactivity
Structure of Atom,Subatomic Particles,Where are electrons present in atom?,outside nucleus,Electrons revolve around nucleus in shells/orbitals.
Polymers,Polymerization Mechanism,What is initiation step?,formation of reactive species,Initiation produces reactive radicals or ions that start polymer growth.
Thermodynamics,First Law,What is constant pressure heat?,qp = ΔH,At constant pressure heat equals enthalpy change.
States of Matter,Gas Properties,Why do gases have low density?,large empty spaces,Molecules occupy very little actual volume.
Polymers,Polymer Classification,Why do fibres possess highly crystalline structures?,aligned polymer chains,Highly ordered arrangement increases strength and rigidity.
Polymers,Polymer Classification,What are addition polymers?,polythene,Addition polymers form without elimination of small molecules.
Aldehydes and Ketones,Ketone Formation,Predict product when alkene with no hydrogen on double bond carbons undergoes ozonolysis.,R2C=CR2 + O3 → ketones,Both sides of double bond form ketones because no aldehyde can form without hydrogen.
Biomolecules,Vitamins,What is deficiency of vitamin K?,vitamin K ↓ → bleeding,Leads to poor blood clotting and excessive bleeding.
Aldehydes and Ketones,Ketone Formation,Predict product when secondary alcohol is heated with Cu at 573K.,R–CHOH–R' → R–CO–R' + H2,Dehydrogenation of secondary alcohol forms ketone and hydrogen gas.
Haloalkanes and Haloarenes,Haloalkane Formation,Predict major product in free radical chlorination of propane.,CH3–CH2–CH3 + Cl2 → products,"Chlorination gives mixture, but secondary radical is more stable than primary, so 2-chloropropane is major product due to higher stability of intermediate radical."
Haloalkanes and Haloarenes,Haloarene Formation,Explain reactivity order in electrophilic substitution.,benzene derivatives,Strong activating groups > benzene > weak deactivating groups > strong deactivating groups.
Alcohols Phenols Ethers,Alcohol Tests,Explain why tertiary alcohol does not react in oxidation test.,(CH3)3COH + [O] → No reaction,"Tertiary alcohol lacks hydrogen on the carbon bearing –OH, so oxidation cannot occur without breaking C–C bonds."
Hydrocarbons,Alkane Concepts,Why is staggered conformation more stable than eclipsed conformation?,staggered < eclipsed energy,Staggered conformation has minimum torsional strain due to maximum separation between bonds.
Haloalkanes and Haloarenes,Haloarene Formation,Solve mixed directing effect problem.,multiple substituents,Need to analyze both electronic and steric effects to predict major product.
Structure of Atom,Quantum Theory,Allowed values of principal quantum number?,"n = 1,2,3...",Principal quantum number has positive integers.
Aldehydes and Ketones,Aldehyde Tests,A compound decolorizes KMnO4 and gives Tollens test. Identify functional group.,RCHO + [O] → RCOOH,This confirms aldehyde group because it is easily oxidized by KMnO4 and reduces Tollens reagent.
Alcohols Phenols Ethers,Phenol Properties,"Arrange acidity: phenol, o-nitrophenol, picric acid.",R–OH ⇌ R–O⁻ + H⁺,"Phenol is least acidic, o-nitrophenol is more acidic due to –NO2 group, and picric acid (with three –NO2 groups) is most acidic due to strong stabilization of conjugate base. Thus, phenol < o-nitrophenol < picric acid."
Alcohols Phenols Ethers,Alcohol Reactions,What happens on oxidation of tertiary alcohol?,(CH₃)₃COH → No reaction,No α-H present
Alcohols Phenols Ethers,Alcohol Tests,A compound A gives green color with dichromate but no Lucas reaction. Identify A.,RCH2OH + [O] → RCOOH,A is a primary alcohol since it oxidizes but does not form carbocation easily.
Alcohols Phenols Ethers,Alcohol Reactions,Explain oxidation pathway of ethanol to acid stepwise.,CH3CH2OH + [O] → CH3CHO ; CH3CHO + [O] → CH3COOH,Ethanol first oxidizes to acetaldehyde and then to acetic acid under strong oxidizing conditions.
Chemistry in Everyday Life,Food Chemistry,Why proteins are not primary energy source?,protein → amino acids,Proteins are mainly used for growth and repair; energy use occurs only when necessary.
Equilibrium,Basic Concepts,Effect of inert gas at constant pressure.,A(g) ⇌ B(g),Equilibrium shifts towards side with more moles due to volume increase.
Carboxylic Acids,Carboxylic Acid Formation,Identify reagent to convert aldehyde to acid selectively.,R–CHO + Tollens → R–COOH,Tollens reagent oxidizes aldehyde to carboxylic acid without affecting other groups.
Hydrocarbons,Alkyne Formation,Formation of alkyne from vicinal dihalide.,RCHX–CHXR + 2KOH → RC≡CR + 2KX + 2H2O,Vicinal dihalides undergo double dehydrohalogenation forming alkynes.
Hydrocarbons,Alkene Reactions,What is the general type of reaction shown by alkenes?,C=C + reagent → addition product,Alkenes mainly undergo electrophilic addition reactions because of the presence of electron-rich π-bond.
Thermodynamics,Heat,What is temperature?,average kinetic energy measure,Temperature measures thermal state of body.
Biomolecules,Vitamins,What are functions of vitamins?,Vitamins → metabolic roles,Essential nutrients
Equilibrium,Solubility,Derive general relation between solubility (S) and Ksp for AxBy.,Ksp = (xS)^x (yS)^y,"For a salt AxBy ⇌ xA^y+ + yB^x−, if molar solubility is S, then [A] = xS and [B] = yS. Substituting into Ksp gives Ksp = (xS)^x (yS)^y = x^x y^y S^(x+y). This general expression helps handle any stoichiometry."
Haloalkanes and Haloarenes,Haloalkane Concepts,Explain stereochemistry in SN2.,chiral R–X → inverted product,SN2 reaction causes Walden inversion because attack occurs from backside.
Equilibrium,Hydrolysis,Explain common ion effect quantitatively on hydrolysis.,Kh = C h²,"Adding common ion increases initial concentration, reducing h according to relation h = √(Kh/C), thus suppressing hydrolysis."
Amines,Amine Formation,How are amines prepared from azides?,R–N3 + 2[H] → R–NH2 + N2,Alkyl azides undergo reduction forming primary amines with release of nitrogen gas.
Chemistry in Everyday Life,Soaps and Detergents,What is micelle formation?,soap molecules → micelle,Micelles are spherical aggregates with hydrophobic tails inward and hydrophilic heads outward.
Redox Reactions,Oxidation Number,What are oxidation number rules?,ON rules,"O usually −2, H +1 (exceptions apply)"
Amines,Amine Properties,What is the basic nature of amines?,R–NH2 + H2O ⇌ R–NH3+ + OH−,"Amines are basic due to presence of lone pair of electrons on nitrogen which can accept a proton, forming ammonium ions."
Equilibrium,Basic Concepts,"For ΔH > 0, effect of temperature on K.",T ↑ → K ↑,Endothermic reactions have increased equilibrium constant with temperature.
Aldehydes and Ketones,Ketone Reactions,Explain reduction using LiAlH4 mechanism.,R–CO–R' + LiAlH4 → R–CHOH–R',"LiAlH4 is a strong reducing agent that delivers hydride ions forming alkoxide intermediate, which yields alcohol after hydrolysis."
Physical Chemistry,Concentration,What is n-factor in acids?,number of replaceable H+,n-factor of acid equals number of ionizable hydrogen ions.
Alcohols Phenols Ethers,Ether Reactions,Predict product when tert-butyl methyl ether reacts with HI.,(CH3)3COCH3 + HI → (CH3)3CI + CH3OH,"The ether undergoes cleavage preferentially at the tertiary carbon because it can form a stable carbocation. Thus, tert-butyl iodide is formed via SN1 mechanism, while methanol is formed as the second product."
Aldehydes and Ketones,Aldehyde Reactions,Predict product when ethanal reacts with Fehling’s solution.,CH3CHO + Cu2+ → CH3COOH + Cu2O,Ethanal reduces Cu²⁺ ions to Cu₂O forming a red precipitate while itself gets oxidized to carboxylic acid.
Haloalkanes and Haloarenes,Haloarene Formation,Explain why fluorobenzene is prepared via diazonium route.,ArN2+BF4− → ArF + N2 + BF3,Direct fluorination is uncontrollable; diazonium route provides controlled formation.
Carboxylic Acids,Carboxylic Acid Formation,Explain why tertiary alcohols do not form acids by oxidation.,R3COH → no reaction,Tertiary alcohols lack α-hydrogen required for oxidation to carboxylic acids.
Alcohols Phenols Ethers,Alcohol Formation,How is methanol (CH₃OH) formed?,C + 4H + O → CH3OH,Carbon forms covalent bonds with hydrogen and a hydroxyl group forming methanol
Aldehydes and Ketones,Ketone Formation,Explain stereochemical aspects of hydroboration vs hydration.,R–C≡CH → syn addition vs Markovnikov,"Hydroboration proceeds via syn addition giving aldehyde, while acid hydration proceeds via carbocation leading to ketone."
Haloalkanes and Haloarenes,Haloarene Reactions,Predict product in benzyne attack orientation.,benzyne + Nu− → isomer mixture,Nucleophile can attack either carbon of benzyne triple bond leading to mixture of products.
Carboxylic Acids,Carboxylic Acid Reactions,Explain decarboxylation reaction.,R–COOH → RH + CO2,"On heating with soda lime, CO2 is removed forming hydrocarbon."
Hydrocarbons,Alkane Reactions,What is propagation step?,CH₄ + Cl• → CH₃• + HCl,Radicals react and regenerate
Structure of Atom,Spectral Series,What is a spectral series?,group of spectral lines,A spectral series is a group of lines produced by electron transitions between energy levels.
Chemistry in Everyday Life,Soaps and Detergents,Explain energy profile of micelle formation.,monomers → micelle,Micelle formation occurs when free energy decreases due to favorable interactions.
Alcohols Phenols Ethers,Alcohol Properties,Explain why alcohols have higher boiling points than haloalkanes of similar mass.,ROH ⇌ hydrogen bonding,"Alcohols form hydrogen bonds while haloalkanes rely on weaker dipole-dipole forces, leading to higher boiling points in alcohols."
Polymers,Polymer Structure,Why are cross-linked polymers rigid and infusible?,three-dimensional covalent network,Cross-links prevent chain mobility and melting.
Haloalkanes and Haloarenes,Haloalkane Formation,Explain energy profile of SN2 mechanism.,R–OH + HX → R–X + H2O,SN2 is a one-step reaction with a single transition state where bond formation and bond breaking occur simultaneously. Energy diagram shows one peak without intermediate.
Alcohols Phenols Ethers,Alcohol Reactions,How does alcohol react with PCl₅?,C₂H₅OH + PCl₅ → C₂H₅Cl + POCl₃ + HCl,–OH replaced by Cl
Aldehydes and Ketones,Aldehyde Tests,How does aldehyde react with PCl5?,RCHO + PCl5 → RCHCl2 + POCl3,"Aldehydes form gem-dichlorides, confirming presence of carbonyl group."
States of Matter,Gas Laws,Explain van der Waals correction for pressure.,P + a(n/V)²,Correction accounts for intermolecular attractions.
Biomolecules,Vitamins,What is source of vitamin D?,sunlight → vitamin D,Vitamin D is synthesized in skin under sunlight.
Hydrocarbons,Alkene Formation,Explain dehydrohalogenation mechanism.,R–CH2–CH2X + base → alkene,Base removes β-hydrogen while halogen leaves producing alkene.
Thermodynamics,First Law,What is sign convention for work done on system?,w positive,Work done on system is positive.
Aldehydes and Ketones,Aldehyde Formation,Explain product formation in ozonolysis of unsymmetrical alkenes.,RCH=CHR' + O3 → RCHO + R'CHO,"Ozonolysis cleaves double bond forming carbonyl compounds. If both carbons have hydrogen, aldehydes are formed; otherwise ketones may form. Product depends on substitution pattern of alkene."
Haloalkanes and Haloarenes,Haloarene Reactions,Predict product in sequential substitution and coupling reactions.,Ar–X → substituted/coupled products,Haloarenes can undergo nucleophilic substitution or coupling depending on reagent choice.
Alcohols Phenols Ethers,Alcohol Reactions,Predict product when tert-butanol reacts with HCl.,(CH3)3COH + HCl → (CH3)3CCl + H2O,Tertiary alcohol forms stable carbocation and reacts rapidly via SN1 to give tert-butyl chloride.
Structure of Atom,Subatomic Particles,What are isobars?,same A different Z,Isobars are atoms with same mass number but different atomic numbers.
Biomolecules,Vitamins,"Arrange solubility: A, B, C, D.",vitamins → classification,"B and C are water-soluble, A and D are fat-soluble vitamins."
Alcohols Phenols Ethers,Alcohol Properties,Why do alcohols show hydrogen bonding?,R–O–H···O–R,Oxygen forms intermolecular hydrogen bonds with hydrogen of another molecule
Physical Chemistry,Stoichiometry,What is fractional conversion?,moles reacted/initial moles,Fractional conversion represents fraction of reactant consumed.
Alcohols Phenols Ethers,Phenol Properties,Explain why phenol molecules associate in liquid phase.,C6H5OH ⇌ dimer formation,"Phenol molecules can form dimers or higher aggregates through hydrogen bonding in liquid phase, increasing intermolecular attraction and affecting properties like boiling point and viscosity."
Physical Chemistry,Gas Stoichiometry,Calculate carbon dioxide produced from 15 L carbon monoxide combustion.,2CO + O2 → 2CO2,15 L carbon monoxide produce 15 L carbon dioxide.
Thermodynamics,Third Law,What is absolute zero temperature?,0 Kelvin,It is lowest theoretically possible temperature.
Alcohols Phenols Ethers,Phenol Reactions,Explain why phenol forms only mono-substituted product in non-polar solvent bromination.,C6H5OH + Br2 → o-bromophenol + p-bromophenol + HBr,"In non-polar solvents, phenol is less ionized and its activating effect is reduced. Therefore, substitution is controlled, leading to formation of mainly ortho and para mono-substituted products instead of tribromo derivative."
Polymers,Polymer Formation,Why is benzoyl peroxide used in polymerization?,free radical initiator,Benzoyl peroxide decomposes to generate free radicals.
Aldehydes and Ketones,Ketone Reactions,What happens when ketone reacts with ammonia?,R–CO–R' + NH3 → R–C=NR' + H2O,Ketones react with ammonia forming imines through nucleophilic addition followed by elimination.
Alcohols Phenols Ethers,Ether Reactions,Explain peroxide formation in ethers with full mechanism.,R–O–R + O2 → R–O–O• + R• ; R–O–O• + R–O–R → ROOR + R•,"Ethers undergo autoxidation in presence of oxygen via free radical mechanism. Initially, hydrogen abstraction forms radicals, which react with oxygen to form peroxide radicals. These radicals propagate the chain reaction forming ether peroxides, which are highly unstable and explosive in nature."
Chemistry in Everyday Life,Soaps and Detergents,Explain anionic detergents.,R–SO3−Na+ → detergent,These have negatively charged head and are most common detergents.
Hydrocarbons,Alkane Formation,Predict product in decarboxylation reaction.,CH3COONa + NaOH → CH4 + Na2CO3,Soda lime removes carboxyl carbon as carbon dioxide producing alkane with one less carbon atom.
Thermodynamics,First Law,What is heat in thermodynamics?,energy due to temperature difference,Heat flows because of temperature difference.
Haloalkanes and Haloarenes,Haloalkane Formation,Formation from alcohol using SOCl2.,R–OH + SOCl2 → R–Cl + SO2 + HCl,"Thionyl chloride converts alcohol into alkyl chloride with gaseous byproducts, making purification easy."
Equilibrium,Buffer Solutions,Explain amphiprotic buffer system.,HCO3− ⇌ H+ + CO3²−,"Amphiprotic species can act as both acid and base, forming buffer systems depending on conditions."
Hydrocarbons,Alkyne Concepts,Why do terminal alkynes react with sodium metal?,RC≡CH + Na → RC≡CNa,Terminal alkynes possess acidic hydrogen which can be replaced by sodium.
Thermodynamics,Third Law,What is standard entropy?,entropy under standard conditions,It is entropy measured at 1 atm and specified temperature.
Alcohols Phenols Ethers,Alcohol Reactions,Why does dehydration follow Saytzeff’s rule?,CH3CH2CH2OH → CH3CH=CH2 + H2O,"In elimination reactions, the more substituted alkene is formed as the major product because it is more stable due to hyperconjugation and inductive effects."
Carboxylic Acids,Carboxylic Acid Formation,How is ethanoic acid (C₂H₄O₂) formed?,2C + 4H + 2O → C2H4O2,Two carbon atoms form chain with terminal –COOH group
Equilibrium,Hydrolysis,Identify most hydrolyzed salt among given options.,Kh = Kw/Ka or Kw/Kb,Salt with smallest Ka or Kb has largest Kh and hence maximum hydrolysis.
Redox Reactions,Equivalent Concept,What is n-factor of H2SO4 in acid-base reaction?,2,H2SO4 releases two H+ ions.
Haloalkanes and Haloarenes,Haloalkane Formation,Formation from diazonium salt (Sandmeyer reaction).,ArN2+ + CuCl → ArCl + N2,"Aryl diazonium salts give haloarenes, but concept is important for halo compounds formation."
Thermodynamics,Thermochemistry,Why is Hess’s law important?,calculate difficult enthalpies,It helps determine indirect heat changes.
Hydrocarbons,Alkene Formation,How is hexene (C₆H₁₂) formed?,6C + 12H → C6H12,Six carbon atoms form a chain with one double bond and combine with hydrogen atoms
Biomolecules,Nucleic Acids,Predict behavior of DNA at high temperature.,DNA → denatured strands,High temperature breaks hydrogen bonds separating strands.
States of Matter,Kinetic Theory,What is most probable velocity?,ump = √(2RT/M),Depends on temperature
Alcohols Phenols Ethers,Phenol Properties,Explain why phenol shows different solubility behavior compared to alcohols of similar mass.,C6H5OH + H2O ⇌ limited H-bonding ; R–OH + H2O ⇌ strong H-bonding,"Although both phenol and alcohols form hydrogen bonds, the bulky aromatic ring in phenol reduces its ability to interact with water fully, leading to lower solubility compared to alcohols of similar molecular weight."
Hydrocarbons,Alkyne Reactions,Explain oxidative cleavage of alkynes.,RC≡CR + [O] → carboxylic acids,Strong oxidation breaks the triple bond completely producing carboxylic acids or carbon dioxide.
Hydrocarbons,Alkyne Reactions,Why does Lindlar catalyst stop hydrogenation at alkene stage?,poisoned catalyst,Poisoned catalyst has reduced catalytic activity and prevents further reduction to alkane.
Polymers,Polymer Concepts,Why are polymers useful?,"plastics, fibres, rubber",Polymers are widely used because of durability and flexibility.
Redox Reactions,Titration,Why are concordant readings important?,ensure accuracy,Concordant values indicate reliable measurements.
Thermodynamics,Basic Concepts,What is isolated system?,Isolated system,Completely isolated
Biomolecules,Nucleic Acids,Explain why RNA is less stable than DNA.,RNA → unstable,RNA has ribose sugar with –OH group making it more reactive and less stable than DNA.
Haloalkanes and Haloarenes,Haloarene Formation,Explain importance of formation reactions.,Ar–H → Ar–X,"Haloarenes are important intermediates in synthesis of dyes, drugs, and polymers."
States of Matter,Gas Properties,Explain critical pressure.,minimum pressure for liquefaction,It is pressure required to liquefy gas at critical temperature.
Thermodynamics,Heat,What is latent heat of vaporization?,vaporization heat,It is heat required to convert liquid into gas.
Biomolecules,Nucleic Acids,Explain formation of nucleoside from base and sugar.,base + sugar → nucleoside,Nitrogenous base attaches to pentose sugar through N-glycosidic bond between N-9 of purine or N-1 of pyrimidine and C-1 of sugar.
Physical Chemistry,Mole Concept,What is the molar mass of NaCl?,NaCl = 23 + 35.5,Molar mass of sodium chloride is 58.5 g mol−1.
Biomolecules,Proteins,Arrange solubility: fibrous vs globular proteins.,protein + H2O → solubility,"Globular proteins are soluble due to compact structure, fibrous proteins are insoluble due to strong intermolecular interactions."
Redox Reactions,Oxidation Number,What is oxidation number of oxygen in most compounds?,−2,Oxygen usually has oxidation number −2.
Amines,Amine Formation,Explain why isocyanide reduction does not cause rearrangement.,R–NC + 2H2 → R–NH2,The reduction breaks C≡N bond directly without intermediate rearrangement.
Structure of Atom,Electronic Configuration,Electronic configuration of lithium?,1s² 2s¹,Lithium has one valence electron in 2s orbital.
Chemistry in Everyday Life,Drugs,Which drug shows highest bioavailability?,drug → bloodstream,Drugs with minimal first-pass metabolism show highest bioavailability.
Equilibrium,Le Chatelier Principle,Effect of temperature on endothermic reaction?,A + heat ⇌ B,Increase in temperature shifts equilibrium forward.
Amines,Amine Reactions,What happens when amines react with acids?,R–NH2 + HCl → R–NH3+Cl−,Amines are basic in nature and react with acids to form ammonium salts. This reaction is reversible and is used for purification of amines.
Physical Chemistry,Concentration,Calculate molarity of solution containing 1 mole solute in 1 L solution.,M = 1/1,Molarity = 1 M.
Aldehydes and Ketones,Ketone Formation,Predict product when propyne undergoes hydroboration-oxidation.,CH3C≡CH → CH3CH2CHO,"Hydroboration follows anti-Markovnikov addition giving aldehyde, not ketone. This is a common trap in exams."
Thermodynamics,Work,Why do solids perform negligible PV work?,small volume change,Solid volumes change very little.
Chemistry in Everyday Life,Soaps and Detergents,Which detergent is biodegradable: linear or branched?,linear → biodegradable,Linear alkyl benzene sulfonates are biodegradable due to easier enzymatic breakdown.
States of Matter,Gas Laws,Why is compressibility factor less than 1 for some gases?,attractive forces dominate,Intermolecular attractions reduce effective pressure.
Chemistry in Everyday Life,Soaps and Detergents,Arrange CMC values: longer chain vs shorter chain detergents.,chain length ↑ → CMC ↓,Longer hydrocarbon chain lowers CMC due to stronger hydrophobic interactions.
Alcohols Phenols Ethers,Ether Properties,Explain why diethyl ether is more volatile than ethanol.,C2H5OC2H5 ⇌ weak interaction ; C2H5OH ⇌ H-bonding,"Ethanol molecules are held together by strong hydrogen bonds, whereas diethyl ether molecules experience only weak dipole–dipole interactions. As a result, ether molecules escape into vapor phase more easily, making them more volatile than alcohols."
Structure of Atom,Quantum Theory,What is a quantum?,discrete energy packet,Quantum is minimum packet of energy.
Redox Reactions,Redox Reactions,Give example of disproportionation reaction.,2H2O2 → 2H2O + O2,Hydrogen peroxide undergoes both oxidation and reduction.
Aldehydes and Ketones,Aldehyde Reactions,Give example of Cannizzaro reaction,C₆H₅CHO → C₆H₅CH₂OH + C₆H₅COOH,Benzaldehyde reacts
Haloalkanes and Haloarenes,Haloalkane Reactions,What happens to configuration?,R–X → inverted product,Backside attack occurs
Thermodynamics,Gibbs Energy,What is relation between Gibbs energy and work?,maximum useful work,Gibbs free energy equals maximum non-expansion work.
Alcohols Phenols Ethers,Ether Reactions,Do ethers react with Na metal?,R–O–R + Na → No reaction,"Ethers do not have acidic hydrogen, so they do not react with sodium metal."
Physical Chemistry,Atomic Mass,Why is molecular mass of ionic compounds not defined?,no discrete molecules,Ionic compounds exist as crystal lattices rather than individual molecules.
Biomolecules,Proteins,Explain partial double bond character of peptide bond.,–CO–NH– ⇌ resonance forms,Resonance between carbonyl and amide nitrogen gives partial double bond character making peptide bond planar and rigid.
Polymers,Polymer Structure,Why does branching decrease crystallinity?,irregular chain packing,Branches disrupt regular arrangement of chains.
Alcohols Phenols Ethers,Alcohol Reactions,Predict the major product when 2-methyl-2-butanol is dehydrated with conc. H2SO4.,(CH3)2C(OH)CH2CH3 → (CH3)2C=CHCH3 + H2O,"Dehydration proceeds via E1 mechanism forming the most stable (Saytzeff) alkene, which is 2-methyl-2-butene due to higher substitution."
Biomolecules,Carbohydrates,What is general formula of carbohydrates?,6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂,Carbohydrates are polyhydroxy aldehydes or ketones
Hydrocarbons,Alkane Formation,Explain why alkynes require more hydrogen.,C≡C + 2H2 → alkane,Triple bond contains two π-bonds requiring two molecules of hydrogen for complete saturation.
Amines,Amine Formation,Predict product when nitrile is partially reduced.,R–CN → imine → R–CH2NH2,Nitrile forms imine intermediate which further reduces to amine.
Amines,Amine Reactions,Explain reaction of secondary amines with nitrous acid.,R2NH + HNO2 → R2N–NO + H2O,Secondary amines form nitrosamines which are stable compounds.
States of Matter,Gas Properties,Why does gas density increase with pressure?,molecules become closer,Compression reduces volume while mass remains constant.
Alcohols Phenols Ethers,Ether Properties,Explain why ethers are highly flammable despite being less reactive.,R–O–R + O2 → CO2 + H2O,"Ethers contain combustible carbon chains and can vaporize easily, forming flammable mixtures with air, making them highly flammable."
Chemistry in Everyday Life,Food Chemistry,Which nutrient gives maximum energy per gram?,fat → highest energy,"Fats provide ~9 kcal/g, highest among all nutrients due to higher oxidation level."
Physical Chemistry,Composition,Why does composition remain constant in pure compounds?,law of definite proportions,Atoms combine in fixed mass ratios in pure compounds.
Polymers,Polymer Classification,What are thermosetting polymers?,bakelite,Thermosetting polymers become permanently hard on heating.
Aldehydes and Ketones,Ketone Reactions,Predict product when acetone reacts with hydroxylamine.,CH3COCH3 + NH2OH → (CH3)2C=NOH + H2O,Ketones form oximes which are useful derivatives for identification.
Alcohols Phenols Ethers,Alcohol Reactions,What is the reaction of alcohol with carboxylic acid?,CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O,Alcohol reacts with carboxylic acid to form ester and water in presence of acid catalyst. This is called esterification.
States of Matter,Liquid State,Why do detergents reduce surface tension?,disrupt intermolecular forces,Detergents weaken cohesive interactions.
Thermodynamics,Thermochemistry,What is heat capacity?,heat required for temperature rise,It measures resistance to temperature change.
Hydrocarbons,Alkane Formation,Explain Kolbe electrolysis mechanism.,2RCOO− → R–R + 2CO2,Carboxylate ions lose electrons at anode forming radicals which combine to produce alkane.
Equilibrium,Le Chatelier Principle,Explain effect of dilution in aqueous equilibrium.,C = n/V,"In aqueous equilibria, dilution increases volume and decreases concentration of all species. The system responds by shifting toward the side with more number of dissolved particles (ions or molecules) to restore equilibrium. This is particularly important in ionic equilibrium and buffer systems."
Equilibrium,Le Chatelier Principle,What is Le Chatelier principle?,Shift in equilibrium,Restores equilibrium position
Alcohols Phenols Ethers,Phenol Formation,Why does fluorobenzene react faster than chlorobenzene in SNAr mechanism?,C6H5F + NaOH → C6H5ONa + NaF,"Despite strong C–F bond, fluorine stabilizes the intermediate via strong –I effect, making nucleophilic substitution faster in SNAr mechanism."
Haloalkanes and Haloarenes,Haloalkane Concepts,Predict whether substitution or elimination dominates.,R–X + reagent → substitution/elimination,"Strong nucleophile and lower temperature favor substitution, while strong base and higher temperature favor elimination."
Haloalkanes and Haloarenes,Haloalkane Reactions,What is significance of haloalkane reactions?,R–X → various products,"Haloalkanes are versatile intermediates for preparing alcohols, amines, nitriles, ethers, and alkenes."
Haloalkanes and Haloarenes,Haloarene Reactions,Explain resonance stabilization of Meisenheimer complex.,Ar–NO2–X + Nu− → intermediate,"Negative charge in Meisenheimer complex is delocalized onto nitro group through resonance, stabilizing intermediate."
Equilibrium,Chemical Equilibrium,What is heterogeneous equilibrium?,Different phases,"Solid, liquid, gas involved"
Amines,Amine Formation,Explain detailed Hofmann bromamide rearrangement mechanism.,RCONH2 + Br2 + NaOH → R–NH2,Base forms N-bromoamide which rearranges via migration of alkyl group to nitrogen. Isocyanate intermediate is formed which hydrolyzes to give amine and CO2.
Thermodynamics,Work,Why is work not stored in system?,energy in transit,Work exists only during energy transfer.
Thermodynamics,First Law,What is sign convention for work done by system?,w negative,Work done by system is negative.
Hydrocarbons,Alkene Concepts,Explain polymerization tendency of alkenes using bond energetics.,π-bond → σ-bonds,Polymerization converts weaker π-bonds into stronger sigma bonds making the process energetically favorable.
Alcohols Phenols Ethers,Alcohol Reactions,What is combustion reaction of alcohol?,C2H5OH + 3O2 → 2CO2 + 3H2O,"Alcohol undergoes combustion in presence of oxygen to produce carbon dioxide, water, and energy."
Biomolecules,Nucleic Acids,Explain codon concept.,3 bases → 1 amino acid,Triplet of bases codes for one amino acid in protein synthesis.
Thermodynamics,Work,Work done in isochoric process?,w = 0,Constant volume process produces no work.
Physical Chemistry,Composition,Explain relation between composition and stoichiometry.,mass ratios in reactions,Stoichiometric calculations depend on composition of compounds.
Biomolecules,Carbohydrates,Explain cyclic structure formation in glucose.,C6H12O6 → hemiacetal (cyclic),The aldehyde group reacts with hydroxyl group forming a six-membered ring (pyranose form) via intramolecular hemiacetal formation.
Structure of Atom,Quantum Theory,Why is quantum theory important?,basis of modern atomic structure,"It explains atomic spectra, bonding, and electron behavior."
Haloalkanes and Haloarenes,Haloalkane Reactions,Explain effect of nucleophile strength on SN2.,R–X + strong Nu− → product,Strong nucleophiles increase SN2 reaction rate because nucleophile participates in rate-determining step.
Alcohols Phenols Ethers,Ether Concepts,Compare alcohol and ether,R–O–R vs R–OH,No hydrogen bonding
Aldehydes and Ketones,Aldehyde Reactions,Predict product when ethanal reacts with Tollens reagent.,CH3CHO + [Ag(NH3)2]+ → CH3COOH + Ag,Ethanal reduces Tollens reagent to metallic silver while itself gets oxidized to acetic acid. This results in formation of a silver mirror.
